bus_id,latitude,longitude,passenger_count,route,speed,weather_condition,time_of_day,traffic_level,timestamp
bus_3,4.709448514205923,-74.64427546445913,3,route_3,12.564692449060779,Sunny,Evening,3,2025-04-01 00:00:00
bus_4,4.660828909903236,-74.65624543671107,6,route_2,34.62676903571446,Rainy,Afternoon,2,2025-04-01 00:01:00
bus_1,4.5928582848858985,-74.79230738025807,34,route_3,32.105351733986,Rainy,Afternoon,2,2025-04-01 00:02:00
bus_3,4.744138505912084,-74.69762565171214,8,route_2,26.720058949437433,Sunny,Afternoon,1,2025-04-01 00:03:00
bus_3,4.705419351766164,-74.68594131436424,7,route_2,29.728615765946188,Rainy,Morning,1,2025-04-01 00:04:00
bus_4,4.548785081803468,-74.68035316573093,16,route_1,36.497029346511646,Rainy,Morning,1,2025-04-01 00:05:00
bus_1,4.7732781553481525,-74.6259482892318,16,route_1,18.068367919419156,Cloudy,Morning,1,2025-04-01 00:06:00
bus_1,4.74676117287695,-74.63991923598194,32,route_3,38.59979391417964,Rainy,Evening,1,2025-04-01 00:07:00
bus_3,4.784939973987577,-74.61762847216197,31,route_2,50.27161646499932,Rainy,Morning,1,2025-04-01 00:08:00
bus_2,4.717715852516508,-74.57053502153737,7,route_1,48.008046489507954,Sunny,Evening,1,2025-04-01 00:09:00
bus_3,4.684024558780737,-74.55610427838518,18,route_3,17.694995234688683,Cloudy,Afternoon,2,2025-04-01 00:10:00
bus_3,4.6254729108871855,-74.58456307713205,37,route_1,17.462473487073694,Cloudy,Afternoon,1,2025-04-01 00:11:00
bus_3,4.779818545006203,-74.51334289121353,2,route_1,23.408718387245667,Cloudy,Morning,1,2025-04-01 00:12:00
bus_3,4.759819166850122,-74.7945302251971,4,route_2,28.05373631705186,Rainy,Afternoon,2,2025-04-01 00:13:00
bus_4,4.513565601031857,-74.74126660429494,12,route_2,30.42277907042413,Cloudy,Morning,2,2025-04-01 00:14:00
bus_1,4.507910092349175,-74.79773113750656,30,route_1,43.98486084166726,Sunny,Evening,3,2025-04-01 00:15:00
bus_4,4.612939010063415,-74.60575758575362,15,route_1,12.83402160829177,Cloudy,Afternoon,1,2025-04-01 00:16:00
bus_4,4.74316599923455,-74.53059083531501,31,route_2,11.73363521130332,Sunny,Morning,1,2025-04-01 00:17:00
bus_4,4.796182838794483,-74.72695531102711,21,route_3,29.595528147195452,Cloudy,Afternoon,1,2025-04-01 00:18:00
bus_3,4.545125067331059,-74.52188963656111,28,route_2,44.85818460689902,Cloudy,Afternoon,1,2025-04-01 00:19:00
bus_2,4.67823921460564,-74.78191978291314,21,route_1,19.671767147824127,Sunny,Morning,3,2025-04-01 00:20:00
bus_1,4.614267256989306,-74.51966919195834,2,route_3,42.07522406281259,Cloudy,Afternoon,2,2025-04-01 00:21:00
bus_2,4.790974319344381,-74.6945131938281,9,route_1,22.991406897014976,Cloudy,Afternoon,2,2025-04-01 00:22:00
bus_4,4.752635676940712,-74.76957375146523,20,route_3,54.30430544067582,Cloudy,Afternoon,1,2025-04-01 00:23:00
bus_4,4.751498611413341,-74.6542384722441,15,route_1,54.78449721333082,Rainy,Afternoon,1,2025-04-01 00:24:00
bus_2,4.640607947938491,-74.72296702968384,11,route_3,24.864360214066323,Sunny,Evening,1,2025-04-01 00:25:00
bus_2,4.624445850701299,-74.71453812941142,1,route_3,21.499687698162028,Cloudy,Afternoon,3,2025-04-01 00:26:00
bus_2,4.582022121579212,-74.70781301052212,23,route_1,30.565198603311565,Sunny,Afternoon,3,2025-04-01 00:27:00
